Site,Parcel,Specie,Base_angle,Crown_angle,Circumference_(cm),Wood_density_(g_cm^-3)
Bosque de los sueños,2,Rhynchosia phaseoloides,0,0,9.0,0.0
Bosque de los sueños,2,Jatropha integerrima,0,0,0.0,0.5
Bosque de los sueños,2,Bathysa australis,0,0,7.0,0.53
Bosque de los sueños,2,Hexalobus monopetalus,0,0,0.0,0.0
Bosque de los sueños,2,Acacia macracantha,0,0,9.0,0.7
Bosque de los sueños,2,Guazuma ulmifolia,0,0,0.0,0.0
Bosque de los sueños,2,Acalypha macrostachya,0,0,0.0,0.45
Bosque de los sueños,2,Palicourea sp.,0,0,0.0,0.0
Bosque de los sueños,2,Albizia guachapele,4.5,58.9,100.0,0.56
Bosque de los sueños,3,Azadirachta indica,3.4,53.1,68.0,0.69
Bosque de los sueños,3,Albizia guachapele,2.8,42.5,29.0,0.56
Bosque de los sueños,3,Prosopis juliflora,19.9,41.1,130.0,0.75
Bosque de los sueños,3,Azadirachta indica,7.7,17.3,15.0,0.69
Bosque de los sueños,3,Azadirachta indica,12.8,14.2,10.0,0.69
Bosque de los sueños,3,Euphorbia bracteata,0,0,0.0,0.0
Bosque de los sueños,3,Lasiacis ruscifolia,0,0,0.0,0.0
Bosque de los sueños,3,Bauhinia acuminata,0,0,0.0,0.0
Bosque de los sueños,3,Acacia macracantha,0,0,0.0,0.0
Bosque de Teca,3,Tectona grandis,10,60,58.0,0.59
Bosque de Teca,3,Tectona grandis,10,75,54.0,0.59
Bosque de Teca,3,Tectona grandis,20,79,71.0,0.59
Bosque de Teca,3,Tectona grandis,15,74,71.5,0.59
Bosque de Teca,3,Tectona grandis,12,79,61.5,0.59
Bosque de Teca,3,Tectona grandis,11,76,55.5,0.59
Bosque de Teca,3,Tectona grandis,18,39,35.0,0.59
Bosque de Teca,3,Tectona grandis,10,79,47.0,0.59
Bosque de Teca,3,Tectona grandis,10,66,42.5,0.59
Bosque de Teca,3,Piliostigma thonningii,0,0,0.0,0.0
Bosque de Teca,3,Dichanthelium clandestinum,0,0,0.0,0.0
Bosque de Teca,3,Lackeya multiflora,0,0,0.0,0.0
Bosque de Teca,3,Guarea guidonia,0,0,0.0,0.0
Bosque de Teca,3,Pseudalbizzia multiflora,15,21,19.0,0.7
Bosque de Teca,3,Pseudalbizzia multiflora,15,18,22.5,0.7
